COUNTY,Retailer Commission,Prizes Paid,HOPE Students to Date,hopeDollars,PreK Students To Date,PreK Dollars To Date,*Outlay/Technology fy94-01,TOTAL RETURNED TO EDUCATION,sales,TOTAL RETURNED To Date,id,hopeRank,salesRank,hopeStudentRank
PEACH,13291019,108300467,7727,24763163,2630,9229862,2117070,36110095,202627805,157701581,35,57,52,51
UPSON ,11980676,97777611,7387,22962874,3300,11543905,1866659,36373438,180230836,146131725,114,59,59,52
EFFINGHAM ,13122561,104041881,7245,30171869,5971,23792486,5197952,59162307,200436155,176326748,99,46,53,53
EMANUEL ,9147888,76398978,7126,19359656,3968,17577505,2590761,39527922,137549639,125074788,28,62,76,54
STEPHENS ,8456517,71800349,6772,24917304,2328,8802909,1563023,35283236,130688607,115540101,133,56,79,55
WAYNE ,8533538,75434545,6660,20457530,4491,18230239,4034740,42722509,131691676,126690591,98,60,78,56
LEE,8242810,71164068,6448,23488147,4022,15790616,4615273,43894036,128755227,123300914,57,58,80,57
CAMDEN ,13202977,94985410,6372,25013931,7605,27456837,6474661,58945429,216391204,167133815,8,54,49,58
WASHINGTON ,10909918,88514521,6261,19719732,2031,7523932,2134585,29378249,162684302,128802689,103,61,65,59
WALTON ,25209022,215106943,6116,26720250,9444,34779271,6252551,67752072,386580054,308068037,148,50,30,60
BEN HILL ,8089431,71891841,5871,16384441,2510,10370561,2104908,28859910,123362560,108841182,150,70,83,61
OCONEE ,4537364,35851819,5864,38998601,3606,11875417,4791892,55665910,71235155,96055092,47,37,115,62
CHATTOOGA ,11041221,97622687,5739,16107192,3353,13459398,1439954,31006544,173132930,139670451,78,71,60,63
PICKENS ,6733164,58661540,5541,19007378,1463,4961492,4386318,28355188,105883001,93749893,96,63,88,64
BRYAN ,9110663,72148679,5524,25235140,4655,17383103,2259156,44877399,143675594,126136741,1,53,73,65
CRISP ,10955982,93876222,5510,18101687,3986,16675101,1372691,36149479,167611580,140981682,94,65,62,66
MITCHELL ,11110703,98404208,5314,15762771,3498,13647987,1481870,30892628,168487854,140407539,70,74,61,67
HARALSON ,19917714,151115813,5238,17022720,4307,18375856,1543583,36942159,320981639,207975685,61,68,39,68
GRADY ,9585548,83313996,5111,15555765,3110,12819837,2137012,30512614,148743579,123412158,154,76,71,69
MURRAY ,10060441,87064713,5056,15981978,4902,18337675,2249923,36569576,160864761,133694730,22,72,67,70
JEFFERSON ,10871062,87663999,4815,13860021,2876,11739479,1296404,26895904,161041002,125430965,6,84,66,71
BERRIEN ,5214221,48215308,4767,14479262,2286,8497761,1955271,24932294,81191507,78361822,48,79,105,72
